Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
11/03/2006,West Shore Bank,Ludington,Michigan,CARD,BSF,"1,000","Customers' debit cards and 
            possibly credit cards were compromised from a security break last 
            summer at a common MasterCard point-of-purchase provider.",Dataloss DB,,2006,43.955283,-86.452583
11/03/2006,Wesco,Muskegon,Michigan,CARD,BSR,0,"Wesco gas stations experienced 
            a breach in credit card transactions from July 25-Sept. 7 resulting 
            in inaccurate charges to customer accounts.",Dataloss DB,,2006,43.234181,-86.248392
11/09/2006,Four ARCO gas stations,Costa Mesa,California,CARD,BSR,440,"From Sept. 29 to Oct. 9, 
            thieves used card skimmers to steal bank account numbers and PIN codes 
            from gas station customers and used the information to fabricate debit 
            cards and make ATM withdrawals.",Dataloss DB,,2006,33.641132,-117.918669
2-19-2007,Stop & Shop Supermarkets,Quincy,Massachusetts,CARD,BSR,0,"Credit and debit card account 
            information including PIN numbers was stolen by high-tech thieves 
            who apparently broke into checkout-line card readers and PIN pads 
            and tampered with them.",Dataloss DB,,2007,42.252877,-71.002271
4-21-2007,Albertsons (Save Mart Supermarkets),Alameda,California,CARD,BSR,100,Credit and debit card numbers were stolen using bogus checkout-line card readers resulting in card numbers processed at those terminals being captured and some to be misused.,Dataloss DB,,2007,37.765207,-122.241636
1-25-2008,Citibank,San Antonio,Texas,CARD,BSF,"1,279","A third party ATM network breach of credit and debit card payment systems affected Citibank customers.  Unauthorized users may have accessed Citibank Banking Card numbers and associated Personal Identification Numbers (PIN).  Customers were issued new Citibank Banking Cards after Citibank learned of the breach.  At least 1,279 New York residents were affected, but the total number of affected people nationwide was not reported.",Dataloss DB,,2008,29.424122,-98.493628
04/07/2008,Redbox,Oakbrook Terrace,Illinois,CARD,BSR,0,"Redbox rents DVD movies via vending 
            machine in drugstores and supermarkets throughout the country. They 
            announced that they'd found credit card skimmers attached to three 
            of their kiosks.",Media,,2008,41.85003,-87.964508
05/01/2008,Lunardi's Supermarket,Los Gatos,California,CARD,BSR,250,"An ATM and credit card reader              in a checkout aisle at the Los Gatos Lunardi's supermarket was recently              switched, resulting in cases of identity theft. Victims all had their              card numbers stolen after officials from Lunardi's contacted them              about a problem with one of their card readers.UPDATE             (8/4/08): Police arrested a man Friday that was involved with the              ATM scam at a Los Gatos supermarket that lost about $300,000. He was              booked into the Santa Clara County Jail in connection with burglary,              conspiracy, drunken driving, and further charges may be filed later,              according to the district attorney's office.",Dataloss DB,,2008,37.226611,-121.97468
6-23-2008,Bank Atlantic,Tampa,Florida,CARD,BSF,0,"Bank Atlantic confirms they had 
            a data loss, involving their MasterCard debit cards. It happened through 
            a local merchant, but at this time, isn't saying which one.",Media,,2008,27.947522,-82.458428
8-29-2008,Wachovia Bank,Cape Coral,Florida,CARD,BSF,0,"It was confirmed that several customers of the Camelot 
            branch, at Cape Coral Parkway and Chiquita Boulevard, who used their debit cards have had their accounts fraudulently charged because someone placed a skimming device on the ATM. The device collected 
            each person's card information, including personal identification 
            numbers, and allowed different debit cards to be created with 
            that information.",Media,,2008,26.562854,-81.949533
05/01/2009,"LexisNexis, Investigative Professionals",Miamisburg,Ohio,CARD,BSO,"40,000","Companies Lexis Nexis and Investigative 
          Professionals have notified up to 40,000 individuals whose sensitive 
          and personally identifiable information may have been viewed 
          by individuals who did not have legitimate access. The data breach is linked 
          to a Nigerian scam artist who used the information to incur fraudulent 
          charges on victims' credit cards. Of the 40,000 individuals whose 
          information was accessed, up to 300 were compromised and used to obtain 
          fraudulent credit cards. The private information viewed included names, 
          dates of birth and possibly Social Security numbers.",Dataloss DB,,2009,39.642836,-84.286608
05/11/2009,Multiple financial institutions,New York,New York,CARD,BSF,0,"A band of brazen thieves ripped 
          off hundreds of New Yorkers by rigging ATMs to steal account and password 
          information from bank customers. The first - a skimmer - went over the 
          slot where customers insert their ATM cards. The skimmer read, and 
          stored, the personal information kept in the magnetic strip on the back 
          of the bank card. The second device was a tiny camera hidden in the lighted 
          signs over the ATM. The pinhole camera lens pointed directly onto the 
          ATM keypad and filmed victims typing in their supposedly secret PIN 
          codes. The thieves would then create their own phony ATM cards and use 
          their victims' PINs to access accounts.",Media,,2009,40.714269,-74.005973
08/11/2009,Bank of America Corp.,Charlotte,North Carolina,CARD,BSF,0,"Charlotte-based BofA (NYSE:BAC) 
            and Citigroup (NYSE:C) each recently issued replacement cards to consumers, 
            telling them that their account numbers may have been compromised. 
            Account information from certain Bank of America debit cards may have 
            been compromised at an undisclosed third-party location. Bank officials 
            are not certain if this is a new breach or a previously disclosed 
            one.",Media,,2009,35.227087,-80.843127
08/11/2009,Citigroup Inc.,New York,New York,CARD,BSF,0,"Citigroup (NYSE:C) recently 
            issued replacement cards to consumers and told them that their account 
            numbers may have been compromised. Citigroup told credit-card customers 
            in Massachusetts that their account numbers may have been illegally 
            obtained as a result of a merchant database compromise and could be 
            at risk for unauthorized use. Bank officials are not certain 
            if this is a new breach or a previously disclosed one.",Media,,2009,40.714269,-74.005973
3-19-2010,PNC Financial Services Group Inc.,Dayton,Ohio,CARD,BSF,0,"PNC Financial Services Group is investigating a possible security breach 
involving some debit cards issued by the former National City Corp., which it 
acquired in December 2008. The problem surfaced when former National City 
customers began reporting unauthorized charges on their accounts. The breach 
involves a small number of cards in the Cincinnati area, and it appears to have 
been committed by someone outside PNC or National City prior to the merger. It 
doesn’t involve any PNC-branded cards or longtime PNC customers. PNC has shut 
down National City debit cards in the Cincinnati area and asks that customers 
who have not yet done so activate their PNC debit cards. PNC is working 
one-on-one with customers to refund accounts, and has been returning funds 
within 24 hours.UPDATE (10/19/10): Three men were charged with using skimming devices at PNCs in Pittsburgh in April and May.",Media,,2010,39.758948,-84.191607
5-24-2011,Soy Capital Bank and Trust,Decatur,Illinois,CARD,BSF,0,Five MIdwest financial institutions have seen fraudulent charges show up on their customers' MasterCard-issued debit cards.  Soy Capital Bank and Trust is responding quickly to the breach; it appears to have occurred over the weekend of May 21.  Fraudulent charges that emptied the accounts of some customers have been appearing in places ranging from Australia to Texas.  Soy Capital is blocking transactions on old MasterCards and giving clients new debit cards.  Soy Capital expects minimal losses from the breach and will be able to reinstate customer funds within 10 days.  Customers who were affected could end up paying as much as $50.  ,Media,,2011,39.840315,-88.9548
7-30-2011,Chase Bank,Rancho Peñasquitos,California,CARD,BSF,950,"A man was charged with using a skimming device to take over $200,000 from customer accounts.  He was arraigned on 45 counts of identity theft, grant theft, burglary, making fake ID cards and causing losses that exceeded $200,000.  He was caught when bank investigators discovered that someone was installing an ATM skimming device on the door of the bank's ATM lobby every Saturday after closing.  The device was then removed by the thief early on Mondays.  This happened for at least six consecutive weeks.  Hidden cameras were also used to record customer pins at the ATMs.  Agents were able to arrest the man as he returned to retrieve the skimming device.",Media,,2011,32.95949,-117.115311
07/03/2012,Olympic College,Bremerton,Washington,CARD,EDU,16,Close to 20 Olympic College students and employees notified college personnel that their credit or debit card numbers were used fraudulently.  The payment cards had all been used at Olympic College. The reports began in late June and the exact cause of the breach was not identified.  Credit card transaction systems were removed from the main merchant network as a precaution.,Dataloss DB,,2012,47.57,-122.6525
10-24-2012,Barnes & Noble,New York,New York,CARD,BSR,0,"PIN pad devices used to process credit and debit card information in stores were compromised.  The breach was discovered around September 14 during maintenance and inspection of the devices.  Anyone who used a credit or debit card at a Barnes & Noble may have been affected by a sophisticated criminal effort to steal that information.  Names, payment card account numbers, and PINs may have been exposed.  Barnes & Noble removed all PIN pads. Fewer than 1% of the inspected PIN pads had been affected.UPDATE (10/24/2012): A total of 63 Barnes and Noble stores in nine states had at least one compromised PIN pad device.  Malicious code was installed on the PIN pads.UPDATE (09/05/2013): A federal judge ruled that customers failed to show that their personal information was stolen in the data breach.",California Attorney General,,2012,40.714353,-74.005973
11-30-2012,"Inova Fairfax Hospital Cardiac Care Center, Inova Fair Oaks Hospital",Fairfax,Virginia,CARD,MED,0,Someone discovered card skimming devices at an ATM near a gift shop of the Inova Fairfax Hospital Cardiac Care Center and at an ATM next to the Inova Fair Oaks Hospital cafeteria.  One device was discovered by a hospital employee who attempted to use the ATM and witnessed the skimmer fall from the ATM.  A skimming device was previously discovered at the same Inova Fairfax Hospital Cardiac Care Center ATM in September.  It is unclear how long the devices were there and people who used them are urged to check their financial statements.,PHIPrivacy.net,,2012,38.846224,-77.306373
12-13-2012,Yolo Federal Credit Union,Woodland,California,CARD,BSF,0,"A skimming device on an ATM resulted in fraudulent transactions on over 800 accounts.  The fraudulent transactions appear to date from October 27, 2012 to November 7, 2012. It is not clear how many skimming devices were involved and where they were located.",California Attorney General,,2012,38.678516,-121.773297
12-20-2012,"Jetro, Restaurant Depot",College Point,New York,CARD,BSR,0,"Customers who used payment cards in several store locations discovered fraudulent charges on their debit and credit cards.  It is unclear if a breach affected the physical machines in the stores or if the payment processing system was hacked.  The company discovered the issue on December 4 and an investigation revealed that the intrusions began on November 7, 2012.  Anyone who used their payment card in a store between November 7 and December 5 of 2012 should closely review their financial statements.  Customers are also warned to be suspicious of phishing emails or phone calls.  Customers should not give their information out over the phone or respond to emails asking for sensitive information.",California Attorney General,,2012,40.786395,-73.838966
